wikidata_id,label,review_group,affiliation_bucket,context_type,modern_country_id,modern_country_label,include_in_imperial_context,include_in_modern_country_rollup,include_in_europe_binary,include_in_non_europe_or_colonial,manual_review_label,notes,manual_review_rank,wikidata_url,manual_review_needs_attention,review_field_has_affiliation_bucket,review_field_has_context_type,review_field_has_modern_country_mapping,review_field_has_geographic_rollup,review_field_has_imperial_decision,review_field_has_review_note,review_punchcard_direct_state,review_punchcard_imperial_context,review_punchcard_modern_rollup,review_punchcard_europe_binary,review_punchcard_non_europe_or_colonial,review_punchcard_review_note,review_punchcard_needs_attention,french_seed_citizenship_entity_count,french_seed_place_context_row_count,french_seed_place_context_entity_count,french_seed_birth_place_context_entity_count,french_seed_active_evidence,global_writers_citizenship_entity_count,global_writers_place_context_row_count,global_writers_place_context_entity_count,global_writers_birth_place_context_entity_count,global_writers_active_evidence,active_in_any_current_cohort,review_tally_checked_count,review_tally_total_fields,review_tally_score,review_basis_count
Q230791,Kingdom of Scotland,British,British predecessor,historical_state,Q145,United Kingdom,False,False,True,False,medium,Predecessor context; not modern UK by itself.,2,https://www.wikidata.org/wiki/Q230791,False,True,True,True,True,True,True,yes,no,no,yes,no,yes,no,0,2,2,2,yes,8,146,109,70,yes,yes,6,6,1.0,4
Q248452,British North America,British,British imperial/colonial,colonial_region,Q145,United Kingdom,True,False,False,True,medium,Useful for place context if it appears.,2,https://www.wikidata.org/wiki/Q248452,False,True,True,True,True,True,True,no,yes,no,no,yes,yes,no,0,0,0,0,no,0,0,0,0,no,no,6,6,1.0,3
Q258532,British America,British,British imperial/colonial,colonial_region,Q145,United Kingdom,True,False,False,True,high,North American colonial context.,3,https://www.wikidata.org/wiki/Q258532,False,True,True,True,True,True,True,no,yes,no,no,yes,yes,no,1,1,1,1,yes,5,12,10,3,yes,yes,6,6,1.0,4
Q27,Ireland,British,Irish/place context,modern_state,Q27,Ireland,False,False,True,False,low,Do not automatically collapse into British.,1,https://www.wikidata.org/wiki/Q27,True,True,True,True,True,True,True,yes,no,no,yes,no,yes,yes,1,4,3,2,yes,41,149,126,106,yes,yes,6,6,1.0,4
Q83164,East India Company,British,British imperial organization,organization,Q145,United Kingdom,True,False,False,True,medium,Do not treat as nationality; useful supporting context.,2,https://www.wikidata.org/wiki/Q83164,False,True,True,True,True,True,True,no,yes,no,no,yes,yes,no,0,0,0,0,no,0,0,0,0,no,no,6,6,1.0,3
Q8680,British Empire,British,British imperial,imperial_state,Q145,United Kingdom,True,False,False,True,high,Core British imperial ID.,3,https://www.wikidata.org/wiki/Q8680,False,True,True,True,True,True,True,yes,yes,no,no,yes,yes,no,0,4,3,0,yes,2,114,84,47,yes,yes,6,6,1.0,5
Q12060881,Chinese Empire,China,Chinese imperial umbrella,historical_imperial_context,Q148,China,True,False,False,True,medium,Useful if it appears in context; not common in P27.,2,https://www.wikidata.org/wiki/Q12060881,False,True,True,True,True,True,True,no,yes,no,no,yes,yes,no,0,0,0,0,no,0,2,2,1,yes,yes,6,6,1.0,4
Q13426199,Republic of China,China,Chinese successor state,historical_state,Q148,China,False,True,False,True,medium,Broader China context.,2,https://www.wikidata.org/wiki/Q13426199,False,True,True,True,True,True,True,yes,no,yes,no,yes,yes,no,0,1,1,0,yes,0,69,59,49,yes,yes,6,6,1.0,5
Q148,People's Republic of China,China,Modern China,modern_state,Q148,China,False,True,False,True,high,Modern China; not historical Qing.,3,https://www.wikidata.org/wiki/Q148,False,True,True,True,True,True,True,yes,no,yes,no,yes,yes,no,0,1,1,0,yes,2,121,93,83,yes,yes,6,6,1.0,5
Q175379,Empire of China,China,Chinese imperial successor,historical_state,Q148,China,True,False,False,True,low,Short-lived 1915-1916 state; likely edge case only.,1,https://www.wikidata.org/wiki/Q175379,True,True,True,True,True,True,True,yes,yes,no,no,yes,yes,yes,0,0,0,0,no,0,0,0,0,no,no,6,6,1.0,4
Q696242,Wang Jingwei regime,China,Chinese wartime government,government,Q148,China,False,True,False,True,low,Broader China context; historically outside current cohort period.,1,https://www.wikidata.org/wiki/Q696242,True,True,True,True,True,True,True,no,no,yes,no,yes,yes,yes,0,1,1,0,yes,0,43,36,29,yes,yes,6,6,1.0,4
Q704714,Provisional Government of the Republic of China,China,Chinese successor government,government,Q148,China,False,True,False,True,medium,Broader China context.,2,https://www.wikidata.org/wiki/Q704714,False,True,True,True,True,True,True,no,no,yes,no,yes,yes,no,0,1,1,0,yes,0,16,13,6,yes,yes,6,6,1.0,4
Q814959,Beiyang Government,China,Chinese successor government,government,Q148,China,False,True,False,True,medium,Broader China context.,2,https://www.wikidata.org/wiki/Q814959,False,True,True,True,True,True,True,no,no,yes,no,yes,yes,no,0,1,1,0,yes,0,53,46,38,yes,yes,6,6,1.0,4
Q8733,Qing dynasty,China,Qing/Chinese imperial,dynasty,Q148,China,True,False,False,True,high,Core Qing ID for the period.,3,https://www.wikidata.org/wiki/Q8733,False,True,True,True,True,True,True,yes,yes,no,no,yes,yes,no,0,1,1,0,yes,403,89,75,66,yes,yes,6,6,1.0,5
Q9903,Ming dynasty,China,Chinese dynastic predecessor,dynasty,Q148,China,True,False,False,True,medium,Broader Chinese historical context; not Qing.,2,https://www.wikidata.org/wiki/Q9903,False,True,True,True,True,True,True,yes,yes,no,no,yes,yes,no,0,1,1,0,yes,1,78,67,59,yes,yes,6,6,1.0,5
Q142,France,France,French,modern_state,Q142,France,False,True,True,False,high,Modern France.,3,https://www.wikidata.org/wiki/Q142,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,1327,2910,1466,1372,yes,1565,4649,2647,2034,yes,yes,6,6,1.0,5
Q207162,Bourbon Restoration,France,French,historical_state,Q142,France,False,True,True,False,medium,Post-1775 state but may appear for people in the cohort.,2,https://www.wikidata.org/wiki/Q207162,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,0,0,0,0,no,0,0,0,0,no,no,6,6,1.0,4
Q58296,First French Empire,France,French,imperial_state,Q142,France,True,True,True,False,medium,Post-1775 state but may appear for people in the cohort.,2,https://www.wikidata.org/wiki/Q58296,False,True,True,True,True,True,True,yes,yes,yes,yes,no,yes,no,0,1325,913,398,yes,0,1563,1114,456,yes,yes,6,6,1.0,6
Q70972,Kingdom of France,France,French,historical_state,Q142,France,False,True,True,False,high,Core French monarchy context for the period.,3,https://www.wikidata.org/wiki/Q70972,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,66,1483,1003,493,yes,111,1746,1217,559,yes,yes,6,6,1.0,5
Q71084,French First Republic,France,French,historical_state,Q142,France,False,True,True,False,high,Revolutionary France.,3,https://www.wikidata.org/wiki/Q71084,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,1,1352,927,402,yes,4,1989,1415,600,yes,yes,6,6,1.0,5
Q861551,July Monarchy,France,French,historical_state,Q142,France,False,True,True,False,medium,Post-1775 state but may appear for people in the cohort.,2,https://www.wikidata.org/wiki/Q861551,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,1,6,6,4,yes,1,7,7,4,yes,yes,6,6,1.0,5
Q1206012,Kingdom of Saxony,Germany,German/Saxon,historical_state,Q183,Germany,False,False,True,False,medium,German state context; verify duplicate modeling with Q41304.,2,https://www.wikidata.org/wiki/Q1206012,True,True,True,True,True,True,True,yes,no,no,yes,no,yes,yes,0,206,130,76,yes,0,3906,2317,1494,yes,yes,6,6,1.0,4
Q153136,Habsburg monarchy,Germany,Austrian/Habsburg,historical_imperial_context,Q40,Austria,True,False,True,False,medium,Habsburg context; relevant contrast but not Germany proper.,2,https://www.wikidata.org/wiki/Q153136,False,True,True,True,True,True,True,no,yes,no,yes,no,yes,no,4,71,42,22,yes,48,1392,942,505,yes,yes,6,6,1.0,4
Q183,Germany,Germany,German,modern_state,Q183,Germany,False,True,True,False,high,Modern Germany.,3,https://www.wikidata.org/wiki/Q183,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,29,199,109,68,yes,1195,4999,2541,2144,yes,yes,6,6,1.0,5
Q27306,Kingdom of Prussia,Germany,German/Prussian,historical_state,Q183,Germany,False,False,True,False,medium,Prussian context; not always modern Germany.,2,https://www.wikidata.org/wiki/Q27306,False,True,True,True,True,True,True,yes,no,no,yes,no,yes,no,10,103,59,25,yes,125,2056,1321,721,yes,yes,6,6,1.0,4
Q28513,Austrian Empire,Germany,Austrian/Habsburg,imperial_state,Q40,Austria,True,False,True,False,medium,Post-1804 Habsburg context; not Germany proper.,2,https://www.wikidata.org/wiki/Q28513,False,True,True,True,True,True,True,yes,yes,no,yes,no,yes,no,0,60,36,19,yes,0,1468,958,536,yes,yes,6,6,1.0,5
Q38872,Holy Roman Empire,Germany,German/HRE,historical_imperial_context,Q183,Germany,True,False,True,False,medium,Use cautiously; not equivalent to modern Germany.,2,https://www.wikidata.org/wiki/Q38872,True,True,True,True,True,True,True,no,yes,no,yes,no,yes,yes,0,74,49,20,yes,5,1468,997,544,yes,yes,6,6,1.0,4
Q40,Austria,Germany,Austrian/Habsburg,modern_state,Q40,Austria,False,True,True,False,medium,Keep separate from Germany in final rollups unless explicitly grouped.,2,https://www.wikidata.org/wiki/Q40,False,True,True,True,True,True,True,yes,no,yes,yes,no,yes,no,0,27,22,5,yes,0,614,425,206,yes,yes,6,6,1.0,5
Q41304,Kingdom of Saxony,Germany,German/Saxon,historical_state,Q183,Germany,False,False,True,False,medium,German state context.,2,https://www.wikidata.org/wiki/Q41304,False,True,True,True,True,True,True,yes,no,no,yes,no,yes,no,0,128,73,28,yes,0,2593,1581,906,yes,yes,6,6,1.0,4
Q43287,Prussia,Germany,German/Prussian,historical_state,Q183,Germany,False,False,True,False,medium,Prussian context; not always modern Germany.,2,https://www.wikidata.org/wiki/Q43287,False,True,True,True,True,True,True,yes,no,no,yes,no,yes,no,0,183,110,61,yes,0,2882,1751,1036,yes,yes,6,6,1.0,4
