person,person_qid,personLabel,birthDate,birthYear,occupation_ids,occupation_labels
http://www.wikidata.org/entity/Q100282,Q100282,Reinhard Woltman,1757-01-01T00:00:00Z,1757,Q13582652 | Q901 | Q36180 | Q978044,ingénieur civil | scientifique | écrivain ou écrivaine | cadre dirigeant ou cadre dirigeante
http://www.wikidata.org/entity/Q1003013,Q1003013,Jozef Fornet,1732-11-07T00:00:00Z,1732,Q36180 | Q432386 | Q974144 | Q96236305,écrivain ou écrivaine | prédicateur | éducateur ou éducatrice | pasteur luthérien
http://www.wikidata.org/entity/Q1003190,Q1003190,István Fosztó,1729-01-01T00:00:00Z,1729,Q36180 | Q97486349,écrivain ou écrivaine | pasteur unitarien
http://www.wikidata.org/entity/Q100322646,Q100322646,Kiyohara Okaze,1747-01-01T00:00:00Z,1747,Q11122954 | Q39631,poète de tanka | médecin
http://www.wikidata.org/entity/Q100326,Q100326,Johann Friedrich Fischer,1726-10-10T00:00:00Z,1726,Q13418253 | Q4964182 | Q36180 | Q1622272,philologue | philosophe | écrivain ou écrivaine | professeur d'université
http://www.wikidata.org/entity/Q100352654,Q100352654,Abd al-Wahhab ibn Muhammad al-Fayrooz,1759-01-29T00:00:00Z,1759,Q1999841 | Q36180,faqîh | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1003664,Q1003664,François Hanriot,1759-12-03T00:00:00Z,1759,Q12859263 | Q36180 | Q47064,orateur ou oratrice | écrivain ou écrivaine | militaire
http://www.wikidata.org/entity/Q100374862,Q100374862,Muhammad ibn Abd al-Rahman al-Afaliqi,1688-01-01T00:00:00Z,1688,Q1999841 | Q11063 | Q37226 | Q36180,faqîh | astronome | enseignant ou enseignante | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1004201,Q1004201,Johann Samuel Fuchs,1770-10-16T00:00:00Z,1770,Q37226 | Q36180 | Q1234713,enseignant ou enseignante | écrivain ou écrivaine | théologien ou théologienne
http://www.wikidata.org/entity/Q100425695,Q100425695,Jean-François de La Croix,1700-01-01T00:00:00Z,1700,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1004275,Q1004275,Friedrich Jakob Fuker,1748-01-01T00:00:00Z,1748,Q39631 | Q897317 | Q21771805 | Q36180 | Q901402 | Q18805,médecin | viticulteur ou viticultrice | viniculteur | écrivain ou écrivaine | géographe | naturaliste
http://www.wikidata.org/entity/Q1004452,Q1004452,Simon Fába,1731-08-18T00:00:00Z,1731,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q1004482,Q1004482,Juliánna Fábián,1766-01-13T00:00:00Z,1766,Q36180 | Q49757,écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q1004517,Q1004517,Sámuel Fábri,1769-01-01T00:00:00Z,1769,Q96236305 | Q28319434 | Q21591523 | Q37226 | Q333634 | Q49757 | Q137178806,pasteur luthérien | pomologue | fruiticulteur | enseignant ou enseignante | traducteur ou traductrice | poète ou poétesse | Q137178806
http://www.wikidata.org/entity/Q100453555,Q100453555,Iwama Otsuni,1756-01-01T00:00:00Z,1756,Q11386386,auteur de haïkus
http://www.wikidata.org/entity/Q100453630,Q100453630,Murata Harukado,1765-03-31T00:00:00Z,1765,Q96926046 | Q11122954,Kokugaku scholar | poète de tanka
http://www.wikidata.org/entity/Q1004545,Q1004545,Ferenc Fáicser,1733-10-28T00:00:00Z,1733,Q49757 | Q42603 | Q733786 | Q37226,poète ou poétesse | prêtre | moine ou moniale | enseignant ou enseignante
http://www.wikidata.org/entity/Q100457,Q100457,Michael Ranft,1700-12-09T00:00:00Z,1700,Q201788 | Q36180 | Q609016,historien ou historienne | écrivain ou écrivaine | Hofmeister
http://www.wikidata.org/entity/Q1004624,Q1004624,Dávid Alajos Fáy,1721-02-22T00:00:00Z,1721,Q49757 | Q219477 | Q42603 | Q733786 | Q37226,poète ou poétesse | missionnaire | prêtre | moine ou moniale | enseignant ou enseignante
http://www.wikidata.org/entity/Q1004630,Q1004630,József Fáy,1707-03-01T00:00:00Z,1707,Q36180 | Q56033776,écrivain ou écrivaine | pasteur réformé
http://www.wikidata.org/entity/Q100491,Q100491,Jacob Gabriel Wolf,1684-01-01T00:00:00Z,1684,Q1622272 | Q13424456 | Q185351,professeur d'université | psalmiste | juriste
http://www.wikidata.org/entity/Q100583,Q100583,Friedrich Eberhard Rambach,1767-07-14T00:00:00Z,1767,Q36180 | Q1622272,écrivain ou écrivaine | professeur d'université
http://www.wikidata.org/entity/Q100587901,Q100587901,Józef Konstanty Bogusławski,1754-01-01T00:00:00Z,1754,Q1234713 | Q42603 | Q1104153 | Q36180 | Q1622272,théologien ou théologienne | prêtre | chanoine | écrivain ou écrivaine | professeur d'université
http://www.wikidata.org/entity/Q1006171,Q1006171,Ferenc Földváry,1700-02-14T00:00:00Z,1700,Q49757 | Q1483709,poète ou poétesse | propriétaire terrien ou propriétaire terrienne
http://www.wikidata.org/entity/Q1006174,Q1006174,József Földváry,1766-02-17T00:00:00Z,1766,Q49757 | Q56033776,poète ou poétesse | pasteur réformé
http://www.wikidata.org/entity/Q100624,Q100624,Friedrich Eberhard von Rochow,1734-10-11T00:00:00Z,1734,Q1231865 | Q36180,pédagogue | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1006241,Q1006241,John Hervey,1696-10-13T00:00:00Z,1696,Q2478141 | Q1511216 | Q15958642 | Q11774156 | Q82955,aristocrate | courtisan | écrivain ou écrivaine politique | mémorialiste | personnalité politique
http://www.wikidata.org/entity/Q100716141,Q100716141,Isabel María Morón,1701-01-01T00:00:00Z,1701,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q100729,Q100729,Johann Benjamin Erhard,1766-02-08T00:00:00Z,1766,Q39631 | Q4964182 | Q36180,médecin | philosophe | écrivain ou écrivaine
http://www.wikidata.org/entity/Q100730,Q100730,Johann Anton Trinius,1722-01-01T00:00:00Z,1722,Q1234713 | Q4964182 | Q36180,théologien ou théologienne | philosophe | écrivain ou écrivaine
http://www.wikidata.org/entity/Q100791941,Q100791941,Ibrahim ibn Mahdi Al Arafat,1765-01-01T00:00:00Z,1765,Q1999841 | Q36180 | Q49757,faqîh | écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q100810,Q100810,Arnold Andreas Friedrich Mallinckrodt,1768-03-27T00:00:00Z,1768,Q36180 | Q6051619 | Q201788,écrivain ou écrivaine | publiciste | historien ou historienne
http://www.wikidata.org/entity/Q1008604,Q1008604,Q1008604,1765-01-01T00:00:00Z,1765,Q36180 | Q1413170 | Q49757 | Q998550,écrivain ou écrivaine | relieur ou relieuse | poète ou poétesse | libraire
http://www.wikidata.org/entity/Q100865,Q100865,Karl Friedrich Behrens,1701-01-01T00:00:00Z,1701,Q11900058 | Q36180,explorateur ou exploratrice | écrivain ou écrivaine
http://www.wikidata.org/entity/Q100879781,Q100879781,Marie-Antoinette Fagnan,1710-01-01T00:00:00Z,1710,Q26203955 | Q36180,auteur de contes | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10088,Q10088,Tipû Sâhib,1750-11-20T00:00:00Z,1750,Q82955 | Q36180 | Q1097498 | Q30242234,personnalité politique | écrivain ou écrivaine | dirigeant ou dirigeante | combattant ou combattante pour la liberté
http://www.wikidata.org/entity/Q100894221,Q100894221,Adrien François d'Huez,1688-01-01T00:00:00Z,1688,Q1281618 | Q42973 | Q36180,sculpteur ou sculptrice | architecte | écrivain ou écrivaine
http://www.wikidata.org/entity/Q100900,Q100900,Johann Ferdinand Seiz,1738-01-01T00:00:00Z,1738,Q1234713 | Q49757,théologien ou théologienne | poète ou poétesse
http://www.wikidata.org/entity/Q100906614,Q100906614,Vincenzo Benini,1713-05-24T00:00:00Z,1713,Q39631 | Q36180 | Q49757,médecin | écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q100989128,Q100989128,Karl Alexander,1746-01-01T00:00:00Z,1746,Q214917 | Q36180,dramaturge | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1010304,Q1010304,Burchard Christian von Spilcker,1770-01-01T00:00:00Z,1770,Q201788 | Q36180,historien ou historienne | écrivain ou écrivaine
http://www.wikidata.org/entity/Q101033371,Q101033371,Margaret Cullen,1767-01-01T00:00:00Z,1767,Q6625963 | Q36180,romancier ou romancière | écrivain ou écrivaine
http://www.wikidata.org/entity/Q101063584,Q101063584,Franz Xaver von Weinhart zu Thierburg und Vollandsegg,1746-11-15T00:00:00Z,1746,Q185351 | Q36180,juriste | écrivain ou écrivaine
http://www.wikidata.org/entity/Q101092,Q101092,Diederich Georg Babst,1741-07-24T00:00:00Z,1741,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q101097390,Q101097390,Jean Haguenier,1678-01-01T00:00:00Z,1678,Q13391399,chansonnier
http://www.wikidata.org/entity/Q101108,Q101108,Matthias Jorissen,1739-01-01T00:00:00Z,1739,Q36180 | Q13424456,écrivain ou écrivaine | psalmiste
http://www.wikidata.org/entity/Q101111611,Q101111611,Jean Fidel Constant Blanvillain,1754-01-01T00:00:00Z,1754,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q101116138,Q101116138,Q101116138,1758-01-01T00:00:00Z,1758,Q49757 | Q6673651,poète ou poétesse | homme ou femme de lettres
http://www.wikidata.org/entity/Q101199904,Q101199904,Nakajima Shūkyo,1773-01-01T00:00:00Z,1773,Q11386386,auteur de haïkus
http://www.wikidata.org/entity/Q101361,Q101361,Johann Arnold Ebert,1723-02-08T00:00:00Z,1723,Q36180 | Q333634 | Q49757 | Q1622272,écrivain ou écrivaine | traducteur ou traductrice | poète ou poétesse | professeur d'université
http://www.wikidata.org/entity/Q101449,Q101449,Joachim Nettelbeck,1738-09-20T00:00:00Z,1738,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q101473753,Q101473753,Clemente Filomarino,1755-04-06T00:00:00Z,1755,Q49757 | Q333634,poète ou poétesse | traducteur ou traductrice
http://www.wikidata.org/entity/Q101585279,Q101585279,Robert Peirce Cruden,1775-01-01T00:00:00Z,1775,Q36180 | Q201788,écrivain ou écrivaine | historien ou historienne
http://www.wikidata.org/entity/Q101638,Q101638,Mary Wollstonecraft,1759-04-27T00:00:00Z,1759,Q333634 | Q4964182 | Q201788 | Q6625963 | Q11774202 | Q1540278 | Q11293375 | Q3579035 | Q4853732 | Q36180,traducteur ou traductrice | philosophe | historien ou historienne | romancier ou romancière | essayiste | gouvernante | propriétaire de biens | chroniqueur de voyage | auteur ou autrice de littérature pour la jeunesse | écrivain ou écrivaine
http://www.wikidata.org/entity/Q101680364,Q101680364,Mikuma Katen,1730-01-01T00:00:00Z,1730,Q1028181 | Q11386386,artiste peintre | auteur de haïkus
http://www.wikidata.org/entity/Q101716958,Q101716958,Yamaoka Geppo,1760-01-01T00:00:00Z,1760,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q101860,Q101860,Wilhelm Gottlieb Becker,1753-11-04T00:00:00Z,1753,Q2004963 | Q36180 | Q1792450,numismate | écrivain ou écrivaine | historien ou historienne de l'art
http://www.wikidata.org/entity/Q102018,Q102018,Nicolaus Rohlfs,1695-01-01T00:00:00Z,1695,Q170790 | Q11063 | Q36180,mathématicien ou mathématicienne | astronome | écrivain ou écrivaine
http://www.wikidata.org/entity/Q102036518,Q102036518,Noël-Laurent Pissot,1770-01-01T00:00:00Z,1770,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q102037,Q102037,Georg Christian Knapp,1753-09-17T00:00:00Z,1753,Q1234713 | Q1622272 | Q864380,théologien ou théologienne | professeur d'université | biographe
http://www.wikidata.org/entity/Q1020553,Q1020553,Miklós Küzmics,1737-09-15T00:00:00Z,1737,Q14467526 | Q36180 | Q333634,linguiste | écrivain ou écrivaine | traducteur ou traductrice
http://www.wikidata.org/entity/Q102076168,Q102076168,Ottavia Negri-Velo,1764-01-01T00:00:00Z,1764,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q102179156,Q102179156,Mademoiselle de Montmort,1700-01-01T00:00:00Z,1700,Q36180 | Q214917,écrivain ou écrivaine | dramaturge
http://www.wikidata.org/entity/Q102179180,Q102179180,Françoise Masquière,1680-01-01T00:00:00Z,1680,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1021962,Q1021962,Yongqi,1741-03-23T00:00:00Z,1741,Q49757 | Q1028181 | Q82955,poète ou poétesse | artiste peintre | personnalité politique
http://www.wikidata.org/entity/Q102256201,Q102256201,Johan Christoffer Holmberg,1700-01-01T00:00:00Z,1700,Q42603 | Q13424456,prêtre | psalmiste
http://www.wikidata.org/entity/Q102278939,Q102278939,Lodovico Piossasco,1773-01-01T00:00:00Z,1773,Q11914886 | Q8178443 | Q333634 | Q212238,auteur comique | librettiste | traducteur ou traductrice | fonctionnaire
http://www.wikidata.org/entity/Q102279695,Q102279695,Giovanni Greppi,1758-11-15T00:00:00Z,1758,Q487596 | Q49757 | Q8178443,dramaturge | poète ou poétesse | librettiste
http://www.wikidata.org/entity/Q102283782,Q102283782,Benedetto Perotti,1775-01-01T00:00:00Z,1775,Q8178443,librettiste
http://www.wikidata.org/entity/Q102284137,Q102284137,Giuseppe Bernardoni,1771-01-10T00:00:00Z,1771,Q8178443,librettiste
http://www.wikidata.org/entity/Q102286787,Q102286787,Michelangelo Prunetti,1770-01-01T00:00:00Z,1770,Q8178443,librettiste
http://www.wikidata.org/entity/Q102302762,Q102302762,Carl Gustaf von Holthusen,1749-01-01T00:00:00Z,1749,Q47064 | Q214917,militaire | dramaturge
http://www.wikidata.org/entity/Q102334437,Q102334437,Q102334437,1695-01-01T00:00:00Z,1695,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q102354149,Q102354149,Nicolas Louis Bourgeois,1710-01-01T00:00:00Z,1710,Q40348 | Q201788 | Q49757,avocat ou avocate | historien ou historienne | poète ou poétesse
http://www.wikidata.org/entity/Q102585,Q102585,Johann Gottlieb Fichte,1762-05-19T00:00:00Z,1762,Q4964182 | Q1622272 | Q36180,philosophe | professeur d'université | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10268124,Q10268124,Domingos Vidal Barbosa Lage,1761-01-01T00:00:00Z,1761,Q39631 | Q49757,médecin | poète ou poétesse
http://www.wikidata.org/entity/Q10268146,Q10268146,Domingos do Loreto Couto,1700-01-01T00:00:00Z,1700,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q102752,Q102752,Abraham Wieling,1693-01-01T00:00:00Z,1693,Q1622272 | Q36180 | Q185351,professeur d'université | écrivain ou écrivaine | juriste
http://www.wikidata.org/entity/Q102775,Q102775,Jakob Immanuel Pyra,1715-07-25T00:00:00Z,1715,Q49757 | Q36180,poète ou poétesse | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1028173,Q1028173,Grgur Pestalic,1755-06-12T00:00:00Z,1755,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q10284550,Q10284550,Francisco Afonso de Chaves e Melo,1685-07-05T00:00:00Z,1685,Q36180 | Q201788,écrivain ou écrivaine | historien ou historienne
http://www.wikidata.org/entity/Q10284558,Q10284558,Francisco Alexandre Lobo,1763-09-14T00:00:00Z,1763,Q36180 | Q250867 | Q82955 | Q611644,écrivain ou écrivaine | prêtre catholique | personnalité politique | évêque catholique
http://www.wikidata.org/entity/Q10285253,Q10285253,Francisco Xavier de Oliveira,1702-03-21T00:00:00Z,1702,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10285437,Q10285437,"Francisco de Portugal, 8.º conde de Vimioso",1679-01-25T00:00:00Z,1679,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10285491,Q10285491,Francisco Álvares de Nóbrega,1773-11-30T00:00:00Z,1773,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q10285887,Q10285887,Frei Jaboatão,1695-01-01T00:00:00Z,1695,Q36180 | Q49757,écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q102898,Q102898,Michael Alberti,1682-11-13T00:00:00Z,1682,Q1622272 | Q15980158 | Q39631 | Q4964182 | Q36180 | Q169470,professeur d'université | auteur ou autrice de non-fiction | médecin | philosophe | écrivain ou écrivaine | physicien ou physicienne
http://www.wikidata.org/entity/Q1029055,Q1029055,József Gvadányi,1725-10-16T00:00:00Z,1725,Q36180 | Q49757 | Q4964182 | Q47064,écrivain ou écrivaine | poète ou poétesse | philosophe | militaire
http://www.wikidata.org/entity/Q10299147,Q10299147,Duncheng,1734-01-01T00:00:00Z,1734,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10303374,Q10303374,Inácio da Costa Quintela,1763-01-01T00:00:00Z,1763,Q49757 | Q36180 | Q201788,poète ou poétesse | écrivain ou écrivaine | historien ou historienne
http://www.wikidata.org/entity/Q103035,Q103035,Henriette Frölich,1768-07-28T00:00:00Z,1768,Q36180 | Q6625963 | Q3068305,écrivain ou écrivaine | romancier ou romancière | salonnier ou salonnière
http://www.wikidata.org/entity/Q10304711,Q10304711,Jacinto Leitão Manso de Lima,1690-08-16T00:00:00Z,1690,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10305079,Q10305079,James Semple,1759-01-01T00:00:00Z,1759,Q18814623,autobiographe
http://www.wikidata.org/entity/Q10306742,Q10306742,Jerónimo Contador de Argote,1676-01-01T00:00:00Z,1676,Q36180 | Q201788,écrivain ou écrivaine | historien ou historienne
http://www.wikidata.org/entity/Q10306751,Q10306751,Jerónimo Rogado de Carvalhal e Silva,1720-12-17T00:00:00Z,1720,Q36180 | Q250867 | Q25393460 | Q611644,écrivain ou écrivaine | prêtre catholique | diacre catholique | évêque catholique
http://www.wikidata.org/entity/Q10307238,Q10307238,Joaquim José Rodrigues de Brito,1753-01-01T00:00:00Z,1753,Q36180 | Q188094,écrivain ou écrivaine | économiste
http://www.wikidata.org/entity/Q10307767,Q10307767,Johann Friedrich Peter Dreves,1772-02-28T00:00:00Z,1772,Q1231865 | Q2374149 | Q36180,pédagogue | botaniste | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10308215,Q10308215,Jorge Pinto de Azevedo,1700-01-01T00:00:00Z,1700,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10308515,Q10308515,Fang Xun,1736-01-01T00:00:00Z,1736,Q1028181 | Q3303330 | Q49757,artiste peintre | calligraphe | poète ou poétesse
http://www.wikidata.org/entity/Q10308732,Q10308732,José Aleixo Falcão de Gamboa Fragoso van Zeller,1762-07-17T00:00:00Z,1762,Q49757 | Q36180 | Q131512,poète ou poétesse | écrivain ou écrivaine | agriculteur ou agricultrice
http://www.wikidata.org/entity/Q10309325,Q10309325,José Elói Ottoni,1764-12-01T00:00:00Z,1764,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q10309362,Q10309362,José Feliciano Fernandes Pinheiro,1774-05-09T00:00:00Z,1774,Q201788 | Q4594605 | Q82955 | Q36180,historien ou historienne | magistrat ou magistrate | personnalité politique | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10311074,Q10311074,João Antônio Rodrigues de Carvalho,1770-01-01T00:00:00Z,1770,Q82955 | Q36834 | Q49757 | Q16533,personnalité politique | compositeur ou compositrice | poète ou poétesse | juge
http://www.wikidata.org/entity/Q10311229,Q10311229,João Cabral de Melo,1740-01-01T00:00:00Z,1740,Q212238 | Q49757 | Q36180,fonctionnaire | poète ou poétesse | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10311803,Q10311803,João Manuel Abreu,1757-01-01T00:00:00Z,1757,Q170790 | Q36180,mathématicien ou mathématicienne | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10312032,Q10312032,João Pedro Ribeiro,1758-01-01T00:00:00Z,1758,Q36180 | Q201788,écrivain ou écrivaine | historien ou historienne
http://www.wikidata.org/entity/Q10312311,Q10312311,João Vicente Pimentel Maldonado,1773-01-22T00:00:00Z,1773,Q49757 | Q36180 | Q1930187,poète ou poétesse | écrivain ou écrivaine | journaliste
http://www.wikidata.org/entity/Q10324677,Q10324677,Manuel de Santa Maria,1704-01-01T00:00:00Z,1704,Q36180 | Q49757,écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q10325912,Q10325912,Maria Josefa,1775-01-01T00:00:00Z,1775,Q1930187 | Q36180 | Q49757,journaliste | écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q10326285,Q10326285,Mariano José Pereira da Fonseca,1773-01-01T00:00:00Z,1773,Q82955 | Q36180,personnalité politique | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1032758,Q1032758,József Hajnóczy,1750-05-03T00:00:00Z,1750,Q185351 | Q36180 | Q333634,juriste | écrivain ou écrivaine | traducteur ou traductrice
http://www.wikidata.org/entity/Q103276,Q103276,Friedrich von Dreger,1699-10-03T00:00:00Z,1699,Q16533 | Q201788 | Q36180,juge | historien ou historienne | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1033189,Q1033189,Changkya Rölpé Dorjé,1717-05-20T00:00:00Z,1717,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1033308,Q1033308,Martin Hamaliar,1750-11-01T00:00:00Z,1750,Q36180 | Q96236305,écrivain ou écrivaine | pasteur luthérien
http://www.wikidata.org/entity/Q103356,Q103356,Andreas Christoph Graf,1701-01-01T00:00:00Z,1701,Q36180 | Q1231865 | Q5758653,écrivain ou écrivaine | pédagogue | enseignant ou enseignante du secondaire
http://www.wikidata.org/entity/Q1033812,Q1033812,Phan Huy Ích,1751-01-01T00:00:00Z,1751,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q1033985,Q1033985,Đặng Trần Côn,1710-01-01T00:00:00Z,1710,Q36180 | Q49757 | Q37226,écrivain ou écrivaine | poète ou poétesse | enseignant ou enseignante
http://www.wikidata.org/entity/Q103399,Q103399,Katharina Amalie Dorothea von Schlegel,1697-10-22T00:00:00Z,1697,Q36180 | Q49757,écrivain ou écrivaine | poète ou poétesse
http://www.wikidata.org/entity/Q103412,Q103412,Friedrich Mosengeil,1773-03-26T00:00:00Z,1773,Q36180 | Q98833883 | Q18810149,écrivain ou écrivaine | théologien protestant | sténographe
http://www.wikidata.org/entity/Q1034254,Q1034254,Hasan Zyko Kamberi,1701-01-01T00:00:00Z,1701,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q1034726,Q1034726,Mihály Heckenast,1774-06-14T00:00:00Z,1774,Q96236305 | Q36180 | Q432386,pasteur luthérien | écrivain ou écrivaine | prédicateur
http://www.wikidata.org/entity/Q1034925,Q1034925,József Hegyi,1756-05-15T00:00:00Z,1756,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10349754,Q10349754,Zha Kui,1770-01-01T00:00:00Z,1770,Q49757,poète ou poétesse
http://www.wikidata.org/entity/Q1036691,Q1036691,Q1036691,1725-11-28T00:00:00Z,1725,Q1815782 | Q18805 | Q1028181 | Q2004963 | Q36180,seigneur | naturaliste | artiste peintre | numismate | écrivain ou écrivaine
http://www.wikidata.org/entity/Q1036749,Q1036749,Karl Andreas von Boguslawski,1758-11-19T00:00:00Z,1758,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1036914,Q1036914,Carl August von Schimmelthor,1766-07-16T00:00:00Z,1766,Q4178004 | Q36180,publicitaire | écrivain ou écrivaine
http://www.wikidata.org/entity/Q10369164,Q10369164,Sebastião de Azevedo,1700-01-01T00:00:00Z,1700,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1037128,Q1037128,Carl Borromäus Weitzmann,1767-06-25T00:00:00Z,1767,Q61043360,écrivain écrivant en dialecte
http://www.wikidata.org/entity/Q10371546,Q10371546,Silvestre Pinheiro Ferreira,1769-12-31T00:00:00Z,1769,Q82955 | Q36180 | Q333634 | Q4964182,personnalité politique | écrivain ou écrivaine | traducteur ou traductrice | philosophe
http://www.wikidata.org/entity/Q1037202,Q1037202,Karl Friedrich August Wilhelm Busse,1772-10-11T00:00:00Z,1772,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q103757,Q103757,Q103757,1731-02-19T00:00:00Z,1731,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q1037956,Q1037956,Carl Friedrich Döhnel,1772-06-12T00:00:00Z,1772,Q36180,écrivain ou écrivaine
http://www.wikidata.org/entity/Q10380199,Q10380199,Tenreiro Aranha,1769-09-04T00:00:00Z,1769,Q36180 | Q49757,écrivain ou écrivaine | poète ou poétesse
